id,logo_path,name,origin_country
4319,,40 Acres & A Mule Filmworks,US
72761,/ikOKXFh7K4Hc9ywiqCI9humBHmg.png,Falcon Pictures,ID
113011,,Cobra Productions,
10105,/bN4tiAS8oNlHhIqq66KBPQ1Ekqh.png,Apatow Productions,US
130766,,Rosemary's Squid,
77973,,Lord Miller,
2251,/6l16UFSkZ1oPpyBYaILgffFZlTc.png,Sony Pictures Animation,US
17090,/fmCUAzog8B4VVeIAxrmAGMeAmqw.png,FJ Productions,US
92048,,Spray Filmes,BR
120896,,James Lucy Productions,
76272,,Watchout Productions,
8018,,Ten Films,
90562,/qII3jJQ4S32FgJRlfSU267woloF.png,TF1 Studio,FR
83,/9OQ0rm55xtlgX7KcAKMUePJSrQc.png,France 2 Cinéma,FR
12407,,Panache Productions,BE
120378,,La Cie Cinématographique,
3578,,UGC Distribution,
101062,,Freestyle Digital Media,
882,/fRSWWjquvzcHjACbtF53utZFIll.png,"Toho Company, Ltd.",JP
69968,/hHhl8DTympjEzWezqb4EUMVZchP.png,NBCUniversal Entertainment Japan,JP
10104,/hNuGhsKVlmhnwSRcmOejDBDjh6w.png,New Regency Pictures,US
12180,/ye2vKF2MZbVPzof7YZjeRUkL7Up.png,Warp Films,GB
508,/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png,Regency Enterprises,US
7493,/452FO4LcI6lA6bfgl6w1kQYRBlr.png,FilmNation Entertainment,US
81121,/yX4flP3T5bZuOQ8Qdw8XuoELU53.png,Imperative Entertainment,US
125083,,Dreamworldmovies,
125084,,Mad Rocket Entertainment,
127342,,Fondazione Latina Film Commission,
127343,,Zenit Distribution,
18,/uqhagSwM7NAkQWVCQhKTyoqF8XH.png,Gracie Films,US
11749,/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png,20th Century Fox Animation,US
14914,/1RZBWz53SpHUTLpRcM8BGv2plIP.png,HBO Documentary Films,US
7671,/r7KeUsNVv0iggZRh6XmNNq2OEw1.png,Amblin Television,US
102472,,M Star International,
1757,,Mad Chance,
19640,/p8SE7J23xviBArUL49rMCkj0m0M.png,Maven Pictures,US
3924,/dvHUrej10yVYXkkyfMpwqHHUkpf.png,Bert Marcus Productions,US
99963,/wi5JP4jpVBeb9qK97nhICkMurNZ.png,Sight Unseen Pictures,US
105833,,Farcaster Films,
119062,,Soyouz Films,
128653,,Studio 224,
3528,/cCzCClIzIh81Fa79hpW5nXoUsHK.png,Thunder Road,US
3012,,Pathé Distribution,FR
116046,,Prélude,
124805,,260 Degrees Entertainment,
21199,,Brillstein Entertainment Partners,
53215,,Get Lifted Film Company,US
12805,,Studio AKA,GB
133245,,Pínfano Films,
131959,/k7Bjx93gTQnpIZMxCnT4TXJVmTn.png,Americana Pictures,US
16049,/2hb0R2GJ6BvgwmyqO7fIgtjsakt.png,Wall to Wall,GB
109759,,Warner Bros. International Television Production Germany,DE
11667,/dhBJdstAolGmqRfbQfElhsU1cTo.png,Northern Ireland Screen,GB
122756,,Six Foot Pictures,
3045,/5jNRqXspCmQ3XkHNzuZIbvnHOWw.png,Sony Pictures Releasing,US
4171,/ip8rzankhLLhJGGkvfCirfUM26d.png,Playtone,US
14319,/z5jJhK1AMbr47CLVqsB4HpIBtHd.png,Sycamore Pictures,US
4436,/iCnomrQJMG059X084K4bARkYIhM.png,Disneynature,FR
581,/pzJLNyKypqwAgLR4OjmaxA5WEjm.png,UGC,FR
7505,/837VMM4wOkODc1idNxGT0KQJlej.png,Marvel Entertainment,US
79426,/8aEC7xem9YwHNCDojSFEPQgoFC3.png,MACRO,US
88934,/5Be96V9WXa7jJInSDPqDOqMBA0o.png,Monkeypaw Productions,US
11565,,The Safran Company,US
76907,/wChlWsVgwSd4ZWxTIm8PTEcaESz.png,Atomic Monster,US
1957,/nmcNfPq03WLtOyufJzQbiPu2Enc.png,Warner Bros. Television,US
111974,,ChampDog Films,
51122,,Greenway Entertainment,
132355,,Rellik Films,
102290,/oAHohSArs894M7z0LwVLbd38bFA.png,Goldfinch Studios,
25318,,Fourth Culture Films,
86509,,Bad Penny Productions,
130808,,13 Films,
21213,/wV3mBqWgfgdRtFEkh6hHpHW9Cb1.png,Funny or Die,US
121893,,truTV,
132279,,Dark to Light Productions,
3659,,Django Film,
7294,/kK4PRgceWp9KNrycD8xx8seWxYU.png,Reliance Entertainment,IN
89687,,Rohit Shetty Productions,
19146,/5Ff25ornzVNhm5skuAvMAR556NB.png,Dharma Productions,IN
104325,,Geminus Studios,
44632,/neCKH4sJCBhZ1B4QocTM4VXCQOR.png,Gravitas Ventures,US
120683,,Scum Films,
12292,/llGRXF5WYUW2fzXg0ebCoKMXjmT.png,Temple Hill Entertainment,US
559,/eC0bWHVjnjUducyA6YFoEFqnPMC.png,TriStar Pictures,US
8147,/q6HOAdSNgCbeOqwoMVRc6REgbXF.png,Entertainment One,CA
79279,,ESX Entertainment,US
89630,,Forrest Films,US
109294,,Defiant Studios,
90761,/uPcwljtUrpoeRiXI4vpDsvqWiqP.png,Kodiak Pictures,US
44391,,Buffalo Films,AR
63474,,Magoya Films,
121459,,Gimpville AS,
121460,/oNPtRYDzXY0vXLrlIXjYKDX6ROg.png,Kool Produktion,NO
114676,,Start,RU
42877,/15THT1W3NROsbDXPbrcmWFVkrSv.png,"Yellow, Black & White",RU
124791,,Boom Done Productions,
2700,/jqmxhA0HVNPiRD80MbBPLSNaIzA.png,Rectangle Productions,FR
9,/nda3dTUYdDrJ6rZqBpYvY865aDv.png,Gaumont,FR
78298,/9U7x4fLDn8EVEZTc4usYeJV1uHF.png,Belga Productions,BE
20800,,"French Connection, The",
133325,/pxLdusnbTDS7dGgAXRV4fw7KJpI.png,Seymore Films,
133326,,The Maine Studios,
133327,,The Golden Zephyr,
80971,,Lost City,
129378,,Bold Crayon,
11778,,F Comme Film,FR
2564,,Ciné@,FR
103137,,QS Films,RU
5630,/s0mHCw53fp6EAapR7g0dwYbz0l5.png,Non-Stop Productions,RU
86766,,DMC Film,
3353,/qv2v9HaStUTRjqonODM29YG0oFX.png,Element Pictures,IE
90733,/3K9wCZTyDgop3ITK1rDi6T2PckE.png,Neon,US
13043,,Rise Films,
